root	form	reason
# Curated exclusions for the extra_dhatu_specs diagnostic. Each row is an
# attested token that we would NOT expect vidyut to derive for the given root
# because it is not a Pāṇinian form of *this* root: it belongs to a sibling
# root, to a different gaṇa (a simple present cited under a Curādi-only
# headword), or is an irregular stem (missing/extra guṇa/vṛddhi/nasal).
#
# Conservative by design: when vidyut's own output for the root looked empty,
# mangled, or merely desibilated (a possible vidyut bug), the token was LEFT in
# the denominator as a genuine gap rather than excluded here.
#
# Columns: root <TAB> form <TAB> reason
band	badati	sibling-root (bad)
BarB	Barbati	sibling-root (barb)
beh	vehati	sibling-root (veh)
Bfkz	Brakzati	sibling-root (bhrakṣ)
bfMh	barhayati	sibling-root (barh)
Brajj	Barjayati	sibling-root (bharj)
BrAs	bABrASyate	sibling-root (bhraṃś, ś-stem intensive)
BrAs	biBrASizate	sibling-root (bhraṃś, ś-stem desiderative)
BrAs	BrASayati	sibling-root (bhraṃś, ś-stem ṇic)
BraS	BrASayati	sibling-root (bhrāś)
cIb	cIvayati	sibling-root (cīv)
cuRq	cuwati	sibling-root (cuṭ)
cuRq	cowayati	sibling-root (cuṭ ṇic)
cuRw	cuwati	sibling-root (cuṭ)
cuRw	cowayati	sibling-root (cuṭ ṇic)
cuRW	Wayati	fragment / sibling
Dam	DmApayati	sibling-root (dhmā ṇic)
Dam	DmAyate	sibling-root (dhmā passive)
DfYj	Darjati	sibling-root (darj)
DrAj	DfYjati	sibling-root (dhṛñj)
DrAj	Drajati	sibling-root (dhraj)
DrAj	DraYjati	sibling-root (dhrañj)
DraYj	DfYjati	sibling-root (dhṛñj)
DraYj	Drajati	sibling-root (dhraj)
DvaYj	Dvajati	sibling-root (dhvaj)
gfYj	garjati	sibling-root (garj)
hrUq	hroqati	sibling-root (hruḍ, short-u guṇa)
hruq	hrUqati	sibling-root (hrūḍ, long-ū)
jamB	jaBate	sibling-root (jabh, de-nasal)
jamB	jaYjaByate	sibling-root (jabh, de-nasal intensive)
KuRq	Koqayati	sibling-root (khoḍ/khuḍ)
KuRq	kzodayati	sibling-root (kṣud)
kland	kladate	sibling-root (klad, de-nasal)
marj	mfYjati	sibling-root (mṛj)
naMS	naSati	sibling-root (naś)
naNK	naKati	sibling-root (nakh)
naNK	naKyati	sibling-root (nakh, cl.4)
sajj	saYjati	sibling-root (sañj)
saYj	sajjati	sibling-root (sajj)
sfB	sarBati	sibling-root (sarbh)
sfmB	sarBati	sibling-root (sarbh)
SraNg	SvaNgati	sibling-root (śvaṅg)
SraNk	SvaNkate	sibling-root (śvaṅk)
sriB	sreBati	sibling-root (sribh, guṇa)
srimB	sreBati	sibling-root (sribh, guṇa)
svaNg	SvaNgati	sibling-root (śvaṅg)
svaNk	SvaNkate	sibling-root (śvaṅk)
Svaj	Svajate	sibling-root (śvaj, de-nasal)
SvaYj	Svajate	sibling-root (śvaj, de-nasal)
svaYj	svajate	sibling-root (svaj, de-nasal)
svad	svAdati	sibling-root (svād)
low	loqati	sibling-root (loḍ)
rOw	rOqati	sibling-root (rauḍ)
sil	Silati	sibling-root (śil)
stam	samayati	sibling-root (śam)
vuNg	buNgati	sibling-root (buṅg)
mind	medayati	sibling-root (med)
muYj	mojayati	sibling-root (moj)
maNk	mamaNgire	sibling-root (maṅg perfect)
maNk	SuSuBire	sibling-root (śubh perfect)
taMs	tantasyati	sibling-root (tas, intensive)
lpI	lyinAti	sibling-root (lyī)
lyI	lpinAti	sibling-root (lpī)
BfMS	BfMSati	cross-gaṇa (simple present under Curādi headword)
BaRq	BaRqati	cross-gaṇa (simple present under Curādi headword)
kaRq	kaRqati	cross-gaṇa (simple present under Curādi headword)
kumb	kumbati	cross-gaṇa (simple present under Curādi headword)
kuMs	kuMsati	cross-gaṇa (simple present under Curādi headword)
mfc	mfcyati	cross-gaṇa (simple present under Curādi headword)
naNK	naNKati	cross-gaṇa (simple present under Curādi headword)
olaRq	olaRqati	cross-gaṇa (simple present under Curādi headword)
olaRq	olaRqayati	cross-gaṇa (Curādi ṇic variant)
panT	panTati	cross-gaṇa (simple present under Curādi headword)
paRq	paRqati	cross-gaṇa (simple present under Curādi headword)
paMS	paMSati	cross-gaṇa (simple present under Curādi headword)
raMh	raMhati	cross-gaṇa (simple present under Curādi headword)
raMh	raMhate	cross-gaṇa (simple present under Curādi headword)
ruMS	ruMSati	cross-gaṇa (simple present under Curādi headword)
stUp	stUpyati	cross-gaṇa (simple present under Curādi headword)
vrUs	vrUsati	cross-gaṇa (simple present under Curādi headword)
druq	droqati	cross-gaṇa (Bhvādi present under Curādi headword)
kuMs	kuMSati	sibling-root (kuṃś, s↔ś)
kuMS	kuMsati	sibling-root (kuṃs, ś↔s)
druq	druqati	irregular stem (Bhvādi present requires guṇa → droqati)
gah	gahayati	irregular ṇic (gāh → gāhayati, vṛddhi)
gUrd	gurdayati	irregular stem (root gūrd, long ū)
iNK	INKayati	irregular stem (root iṅkh, short i)
sTir	sTirati	irregular stem (requires guṇa → sterati)
sTag	sTagayati	irregular ṇic (sthāg → sthāgayati)
DIkz	Dikzate	irregular stem (root dīkṣ, long ī)
SvaRW	SvAWayati	irregular stem (loses ṇ; root śvaṇṭh)
aMS	aMSApayati	irregular ṇic (-Āpaya on a consonant-final root)
stam	stamayati	irregular ṇic (stam → stāmayati)
